Gene ID	Gene Symbol	
100158454	cdc25b-a	
397997	itgav-b	
399286	ptk2	
446326	actn3	
734605	eif4e2	
447312	dpyd	
733430	adam17	
432103	eci1	
100037214	was	
734408	enoph1	
431833	ssx2ip	
443983	eogt	
397945	ssr4	
735041	atp1b4	
399277	acvr2b	
399350	npr2	
373618	prlr-a	
379336	aldoa	
398224	pak7	
443901	MGC80163	
380529	eif1b	
379886	cs	
495046	LOC495046	
444805	prkar1b	
735117	mrps18a	
2642085	ND3	
379831	eif4a2	
379864	pgm1	
443777	pabpc1l-b	
497632	arntl	
379871	cstf2	
397840	cycE1	
399455	apc	
444007	arrb2	
399007	hgs	
432136	enosf1	
100036902	LOC100036902	
373609	fyn	
398081	cdc45	
379385	MGC53182	
503680	tbp-b	
100158346	exoc7	
779181	sumo1-b	
380513	prim1	
379665	rab35	
379959	rpl19-a	
399396	nedd4l	
398835	rab10	
373829	lefty-a	
378667	psmb9	
447370	ogdhl	
100036931	sds	
734536	prodh	
779288	rp9	
734869	qdpr	
444113	mcoln1	
431921	ssx2ip-b	
380537	rps8	
100037175	nme3-b	
394417	taf12	
379880	ctps1	
443569	mpp5	
734328	taf3	
779413	MGC154858	
494762	gabarapl1-b	
398037	LOC398037	
379893	cpt2	
100127265	ctsk	
379483	ftcd	
394321	myd88-a	
443768	ppm1b	
394335	np-a	
447133	rpl29-b	
397712	bmpr1a	
447507	ak1-b	
734744	thtpa	
432040	abcd3	
503670	pin1-a	
379592	rps12-b	
380304	cnot4	
373844	myl4	
380261	ddx42	
399298	ntf3	
735235	MGC130982	
100191013	ptch2-a	
380558	calm2	
734254	rpp21	
394414	gnas	
399034	ufd1l	
398148	atm	
495369	b4galt7	
496043	eif3h	
380358	rpl10	
380243	usp8	
398068	nodal	
444709	b4galt4	
444473	ggcx	
503510	nog2	
397741	epb41	
398969	hpgds-a	
397957	c-ets-1b	
100158361	LOC100158361	
100158303	LOC100158303	
447080	atp5l	
398626	dhdds	
379289	eef1a-o1	
447141	lsm6	
398193	lefty-b	
100036852	e2f1	
397826	pxn	
399303	ctnna1	
444462	det1	
398917	cndp1	
414530	anapc4	
398687	pip5k1c	
446525	oat	
379269	nvl	
734336	map3k3	
379352	MGC53832	
494728	umps	
397755	itgb1-a	
446502	prkacbb	
398583	atp1a1-b	
414549	dtymk	
495007	fzd6	
444135	MGC80562	
100037163	cox6b1-b	
444090	MGC83618	
447178	uros	
100048914	bdnf-b	
379402	MGC53924	
379768	snap29	
494587	snx3	
399444	fgfr1-b	
398860	tkt	
373591	lpar1-b	
379793	pold2	
380347	prps2	
734157	mecom-a	
446752	MGC79035	
100037043	alg1	
379555	MGC69005	
444510	chmp6-a	
446884	xrcc1	
397863	tcf7l1-a	
444101	hmox2	
734165	atf4-b	
496306	phf5a	
100137668	uqcr10	
444244	cd82	
100158302	rufy1	
724075	erbb2	
431912	MGC82298	
734723	smpd3	
446638	pgs1	
100036779	mlh1	
398309	cxcr1	
379677	nxt2	
432225	bet1	
399369	smad6	
444294	glul-a	
398234	bub1	
100335046	aanat	
379149	snupn	
734633	MGC114996	
447337	grk6	
380472	myl12b	
444437	dolk	
394386	mpo	
444547	MGC83376	
399383	rngtt	
380462	rpl9	
446366	slc8a3	
444431	chst6	
414606	grhpr.1	
444140	pard6g	
379746	arpc3	
444827	rcvrn.2-b	
379992	mapk14	
379611	ssr1	
432267	MGC83090	
379346	MGC53721	
443852	ppp1cb	
399041	mif	
446524	taf5l	
373669	fgf3	
495274	dpm2-a	
432307	rps16	
100381096	fbp2	
100037253	rps6ka4	
379650	sephs1	
398928	cldn18	
734464	ybx3	
496317	upp2	
734428	MGC115163	
398711	setdb2	
379503	ehd2	
380420	rps10	
2642087	ND2	
100381103	snrpd2	
398728	gda	
100049757	srd5a1	
494796	suclg1	
446644	MGC82549	
444511	neu1	
494669	mapk11	
447322	sat1-b	
tRNA-Ser-1	-	
407748	chrac17	
397706	wnt4	
447391	b3galt2	
444815	cox4i2	
373667	ccnd2-a	
379888	ccnb1	
394401	bambi	
444104	fbxw8	
380055	ckb	
447090	pla2g2e	
399237	prps1	
447785	cstf1	
398374	nup153	
446795	gspt1	
444492	hsd17b4	
446574	anapc7	
397966	sox17	
380286	rps12-a	
444397	prkag2	
734314	spg21	
379570	alg5	
378663	relb	
446231	ube2l3	
495135	chrnb2	
496388	atrip	
447313	ctsv	
379083	hdac1-b	
398235	snai2-b	
446813	p2ry13	
733346	cyp39a1	
380588	dld	
444456	MGC83663	
100036849	ap1b1	
397837	gli3	
446736	exosc1	
496046	LOC496046	
379406	cdk4	
379853	snrpn	
397728	aldh1a1	
495045	vps45	
380135	acsl1	
495950	LOC495950	
443911	prdx1	
733186	rapgef3	
379756	hspa5	
380161	ebp	
380132	atp1a3	
397761	ncam1-a	
495319	tubb3	
446803	uap1	
446759	rps21	
100190773	pan3	
380327	impa1	
380045	ppp2ca	
398421	LOC398421	
606721	calm1	
447470	MGC81734	
779396	haghl	
734294	msh6	
443864	siah1	
495137	tgds	
100192362	mcl1	
444472	gmppa-a	
397710	LOC397710	
379201	snx12	
494684	LOC494684	
100037200	dut	
398197	atr	
446573	herc4	
733316	LOC733316	
444123	ndufb7	
397851	polg	
399250	sec22b-b	
100337558	rag1	
100037075	taf4	
100036923	gemin8	
380018	canx-a	
496349	LOC496349	
379060	cant1	
734687	MGC116497	
100037066	urad	
444171	sike1	
495031	c1galt1c1	
399121	prmt1-a	
380312	klc1	
100049095	LOC100049095	
496231	cldn19	
496246	sult2a1	
380256	srp54	
399447	il4i1	
399470	ralb	
100036781	cox7a2-b	
444489	smap2	
432226	MGC79057	
431872	chmp3	
379743	pdia3	
444049	mdn1	
380524	ube2n	
495682	cpt1b	
447121	rpl23a	
398046	arr3	
447436	psap	
373557	snap23	
399463	gnai1-b	
380467	socs3	
447317	khk	
595044	aph1a	
444269	dhrs3	
380593	glul	
379850	mcm3	
414468	rab5b	
397973	polb	
431964	rev1	
503678	LOC503678	
397943	thbs4	
380595	snrpf	
397904	rpl22	
101027269	LOC101027269	
444408	MGC82977	
444771	dhrs4	
398264	prickle1-b	
397701	fgfr4-a	
397924	mos	
734775	ccna2	
779100	stat3.1	
398942	allc	
432036	MGC81499	
447134	rpl34	
100049093	LOC100049093	
398370	uba1-a	
398980	lpgat1	
373817	fzd1	
414684	mgst1	
399235	uba2	
432134	MGC80198	
378923	bub1b	
444527	dvl3	
444543	folr1	
447522	aldh7a1	
100294514	gria2	
100463496	mid1	
735187	sf3b5	
444287	cltc	
431839	MGC82312	
398417	kcne1	
779328	amt	
446714	sh3glb2	
379478	ca4	
379095	tnnc2	
414613	MGC81482	
380043	rps13	
398372	smurf2	
735059	MGC85013	
496052	ap3m2	
398787	MGC68542	
398956	ppat	
447361	ahcyl2	
380119	nploc4	
394381	per2	
446697	jak1	
735067	polr3g	
447165	lipt1	
443701	cd44	
399291	ptpn11	
397785	mapk1-b	
443745	ube2b	
734664	rpl35	
379580	cdc23	
380351	fzr1	
414590	mgat2	
734907	thoc6	
431869	syvn1-a	
495465	LOC495465	
380152	srsf3	
733315	tank	
398099	cdc7	
100873156	cd38b	
496207	m6pr	
446351	tbk1	
447025	cel	
100125673	fancg	
398006	insr	
735073	psma1	
397868	hdac1-a	
495058	cd74	
779355	slc27a6	
100037026	LOC100037026	
734637	MGC115367	
100189568	tmlhe	
444614	MGC84105	
398629	herpud1-b	
432171	ap2m1-b	
380457	ywhab-b	
495019	snrpb2	
495516	pim1	
444225	pigo	
100036774	cyp17a1	
446468	ugp2	
444167	ada	
380205	gnl2	
446221	ena	
378608	crhr2	
495085	LOC495085	
444514	ptpn1	
432086	gpx8-a	
398141	LOC398141	
734627	atp6v1a	
397726	rad51-a	
447491	ocln-a	
446253	apg4a	
398964	MGC68821	
399443	itgb1-b	
380010	otud5-a	
495426	hnmt-a	
373672	kras-a	
398191	chek1	
379907	ndufv1	
380255	hnrpk	
398851	MGC68808	
380028	dars	
494752	stx19	
386669	chrng	
446657	hacl1	
100653508	LOC100653508	
398121	ldha-b	
414634	arhgap35	
398765	sox17a-b	
398083	myh9	
398861	LOC398861	
446737	rps23	
495002	rptor	
397778	tgfb1	
494715	scp2	
380419	col1a2	
414576	MGC81040	
379860	utp15	
380485	impdh1	
373733	zfyve9	
100037025	ganab	
447180	cox7a2-a	
734731	ncf4	
432180	csnk2a2	
734882	ccnd2-b	
380340	gnl3	
397962	stmn1-b	
397916	fxyd2	
779261	nudt9	
379749	arf1	
379811	cnot8	
380563	acads	
443854	cblb-a	
735130	utp18	
494800	ctsz	
734697	fgf7	
734940	hagh	
446472	etnppl	
779264	rilp	
