Gene Symbol and Synonyms,UniProt Accession
BT_3820,Q8A147
BT_3640,Q8A1M1
BT_2693,Q8A4B0
BT_t31,-
BT_2005,Q8A681
BT_1975,Q8A6B0
BT_1923,Q8A6G1
BT_0535,Q8AAD0
BT_4314,Q89ZR2
BT_0475,Q8AAI9
BT_t58,-
BT_t14,-
BT_3256,Q8A2P9
BT_1271,Q9RQ15
BT_0427,Q8AAN7
BT_1885,Q8A6J6
BT_3453,Q8A253
BT_0788,Q8A9M7
BT_3065,Q8A389
BT_2701,Q8A4A2
BT_3461,Q8A245
BT_0917,Q8A998
BT_1820,Q8A6Q6
BT_3117,Q8A338
BT_t52,-
BT_1291,Q8A883
BT_4337,Q89ZN9
BT_3391,Q8A2B4
BT_t48,-
BT_0789,Q8A9M6
BT_2692,Q8A4B1
BT_1685,Q8A740
BT_0123,Q8ABI7
BT_1349,Q8A825
BT_3646,Q8A1L5
BT_t16,-
BT_3285,Q8A2M0
BT_3354,Q8A2F1
BT_0625,Q8AA40
BT_2417,Q8A527
BT_3448,Q8A258
BT_3077,Q8A378
BT_0590,Q8AA75
BT_t67,-
BT_0657,Q8AA08
BT_2015,Q8A671
BT_1913,Q8A6H1
BT_0550,Q8AAB5
BT_1720,Q8A705
BT_0894,Q8A9C1
BT_2835,Q8A3W9
BT_3226,Q8A2S9
BT_t30,-
BT_0347,Q8AAW5
BT_3219,Q8A2T6
BT_0808,Q8A9K7
BT_3131,Q8A324
BT_1858,Q8A6L9
BT_1880,Q8A6K1
BT_3925,Q8A0U6
BT_2152,Q8A5T6
BT_2161,Q8A5S7
BT_2727,Q8A476
BT_0250,Q8AB61
BT_1651,Q8A774
BT_2836,Q8A3W8
BT_2829,Q8A3X5
BT_3598,Q8A1R1
BT_0414,Q8AAQ0
BT_3550,Q8A1V8
BT_4582,Q89YZ8
BT_2232,Q8A5K7
BT_1860,Q8A6L7
BT_4260,Q89ZW1
BT_4728,Q89YK3
BT_2275,Q8A5G4
BT_2945,Q8A3K9
BT_0647,Q8AA18
BT_1681,Q8A744
BT_0486,Q8AAH9
BT_0742,Q8A9S3
BT_3212,Q8A2U3
BT_4205,Q8A016
BT_1398,Q8A7X6
BT_1196,Q8A8H1
BT_1719,Q8A706
BT_0474,Q8AAJ0
BT_1221,Q8A8E6
BT_0892,Q8A9C3
BT_0547,Q8AAB8
BT_1696,Q8A729
BT_4321,Q89ZQ5
BT_t35,-
BT_3771,Q8A195
BT_0649,Q8AA16
BT_0515,Q8AAF0
BT_t06,-
BT_t55,-
BT_r02,-
BT_0527,Q8AAD8
BT_0787,Q8A9M8
BT_t25,-
BT_4353,Q89ZM4
BT_3431,Q8A275
BT_t02,-
BT_1627,Q8A798
BT_4106,Q8A0B5
BT_1843,Q8A6N4
BT_1917,Q8A6G7
BT_4312,Q89ZR4
BT_1882,Q8A6J9
BT_2146,Q8A5U2
BT_2875,Q8A3S9
BT_0626,Q8AA39
BT_1362,Q8A812
BT_t15,-
BT_0506,Q8AAF9
BT_2955,Q8A3J9
BT_t23,-
BT_2730,Q8A473
BT_0719,Q8A9U6
BT_r04,-
BT_2703,Q8A4A0
BT_3155,Q8A300
BT_2403,Q8A541
BT_2230,Q8A5K9
BT_3327,Q8A2H8
BT_3009,Q8A3E5
BT_3261,Q8A2P4
BT_2400,Q8A544
BT_2704,Q8A499
BT_3654,Q8A1K7
BT_3451,Q8A255
BT_3106,Q8A349
BT_0806,Q8A9K9
BT_2702,Q8A4A1
BT_3844,Q8A127
BT_3294,Q8A2L1
BT_2881,Q8A3S3
BT_3230,Q8A2S5
BT_2618,Q8A4I1
BT_0311,Q8AB01
BT_0353,Q8AAV9
BT_0465,Q8AAJ9
BT_3587,Q8A1S2
BT_2719,Q8A484
BT_0929,Q8A988
BT_0290,Q8AB22
BT_2944,Q8A3L0
BT_r10,-
BT_2708,Q8A495
BT_0630,Q8AA35
BT_0545,Q8AAC0
BT_4425,Q89ZF2
BT_t34,-
BT_2122,Q8A5W4
BT_4701,Q89YN0
BT_3837,Q8A134
BT_4366,Q89ZL1
BT_1089,Q8A8S8
BT_0196,Q8ABB4
BT_4003,Q8A0L8
BT_4713,Q89YL8
BT_0698,Q8A9W7
BT_2722,Q8A481
BT_0543,Q8AAC2
BT_3975,Q8A0P6
BT_1778,Q8A6U8
BT_1671,Q8A754
BT_2715,Q8A488
BT_3692,Q8A1G9
BT_1350,Q8A824
BT_2803,Q8A401
BT_2058,Q8A628
BT_1432,Q8A7U2
BT_0202,Q8ABA8
BT_3620,Q8A1N9
BT_0356,Q8AAV6
BT_3266,Q8A2N9
BT_3447,Q8A259
BT_3946,Q8A0S5
BT_1034,Q8A8Y3
BT_2070,Q8A616
BT_0554,Q8AAB1
BT_4152,Q8A069
BT_2620,Q8A4H9
BT_0348,Q8AAW4
BT_1625,Q8A7A0
BT_3306,Q8A2J9
BT_2940,Q8A3L4
BT_3303,Q8A2K2
BT_3933,Q8A0T8
BT_1626,Q8A799
BT_t22,-
BT_1236,Q8A8D1
BT_0461,Q8AAK3
BT_t64,-
BT_3054,Q8A3A0
BT_1842,Q8A6N5
BT_3162,Q8A2Z3
BT_4184,Q8A037
BT_0651,Q8AA14
BT_4216,Q8A005
BT_0466,Q8AAJ8
BT_3249,Q8A2Q6
BT_4714,Q89YL7
BT_4682,Q89YP9
BT_2048,Q8A638
BT_3995,Q8A0M6
BT_1901,Q8A6I3
BT_2123,Q8A5W3
BT_3360,Q8A2E5
BT_2854,Q8A3V0
BT_3936,Q8A0T5
BT_1298,Q8A876
BT_0489,Q8AAH6
BT_3939,Q8A0T2
BT_3998,Q8A0M3
BT_0428,Q8AAN6
BT_0529,Q8AAD6
BT_1209,Q8A8F8
BT_1658,Q8A767
BT_2047,Q8A639
BT_0829,Q8A9I6
BT_0792,Q8A9M3
BT_1225,Q8A8E2
BT_1273,Q9RQ13; Q7C426
BT_t70,-
BT_4610,Q45791
BT_0717,Q8A9U8
BT_0205,Q8ABA5
BT_2837,Q8A3W7
BT_r06,-
BT_0370,Q8AAU4
BT_2251,Q8A5I8
BT_1377,Q8A7Z7
BT_2402,Q8A542
BT_3263,Q8A2P2
BT_3871,Q8A100
BT_1730,Q8A6Z5
BT_4109,Q8A0B2
BT_3938,Q8A0T3
BT_0124,Q8ABI6
BT_0464,Q8AAK0
BT_1299,Q8A875
BT_4107,Q8A0B4
BT_1431,Q8A7U3
BT_2145,Q8A5U3
BT_2664,Q8A4D5
BT_3801,Q8A166
BT_3358,Q8A2E7
BT_1525,Q8A7J9
BT_2154,Q8A5T4
BT_0424,Q8AAP0
BT_2019,Q8A667
BT_1079,Q8A8T8
BT_3231,Q8A2S4
BT_2014,Q8A672
BT_1607,Q8A7B8
BT_3971,Q8A0Q0
BT_3767,Q8A199
BT_0548,Q8AAB7
BT_0132,Q8ABH8
BT_1325,Q8A849
BT_1444,Q8A7T0
BT_0129,Q8ABI1
BT_t04,-
BT_2731,Q8A472
BT_4058,Q8A0G3
BT_4258,Q89ZW3
BT_1971,Q8A6B4
BT_3293,Q8A2L2
BT_1555,Q8A7G9
BT_4350,Q89ZM7
BT_1698,Q8A727
BT_3034,Q8A3C0
BT_4417,Q89ZG0
BT_1859,Q8A6L8
