Gene Symbol and Synonyms	Gene Symbol
CELE_H22K11.1	asp-3
CELE_B0303.3	B0303.3
CELE_T22D1.9	rpn-1
CELE_T27E4.3	hsp-16.48
CELE_T10B5.3	T10B5.3
CELE_Y66H1B.4	spl-1
CELE_H12D21.4	mpst-2
CELE_F53G12.1	rab-11.1
CELE_F07D10.1	rpl-11.2
CELE_H43I07.2	rpac-40
CELE_F20H11.3	mdh-2
CELE_K01G5.6	rib-2
CELE_F08G5.21	F08G5.21
CELE_Y81G3A.3	gcn-2
CELE_F02H6.t1	F02H6.t1
CELE_H28O16.1	H28O16.1
CELE_C37H5.6	adss-1
CELE_W02D9.1	pri-2
CELE_F56D12.t1	F56D12.t1
CELE_T01B4.t4	T01B4.t4
CELE_W07G4.t1	W07G4.t1
CELE_K01A12.9	K01A12.9
CELE_F46C3.1	pek-1
CELE_Y24F12A.2	ragc-1
CELE_E01H11.t1	E01H11.t1
CELE_Y37H9A.6	ndx-4
CELE_T19E7.2	skn-1
CELE_F38E9.t2	F38E9.t2
CELE_R12E2.3	rpn-8
CELE_R02E12.t1	R02E12.t1
CELE_T05C3.5	dnj-19
CELE_C40H5.13	C40H5.13
CELE_Y47D3A.25	rab-35
CELE_W04D2.6	W04D2.6
CELE_C39D10.14	C39D10.14
CELE_C43E11.1	acin-1
CELE_ZK795.1	ZK795.1
CELE_R09E10.3	acs-18
CELE_R10D12.12	algn-13
CELE_C42D8.3	pnk-4
CELE_F47G4.3	gpdh-1
CELE_JC8.5	cox-11
CELE_Y95D11A.t1	Y95D11A.t1
CELE_F21C3.t1	F21C3.t1
CELE_C16A3.8	thoc-2
CELE_T04D3.10	T04D3.10
CELE_M7.5	atg-7
CELE_W09D10.3	mrpl-12
CELE_F27E11.3	cfz-2
CELE_Y119D3B.t1	Y119D3B.t1
CELE_F08A8.1	acox-1
CELE_C39E9.13	rfc-3
CELE_ZK1127.5	ZK1127.5
CELE_F01F1.4	rabn-5
CELE_B0024.12	gna-1
CELE_C49H3.5	ntl-4
CELE_F12D9.5	F12D9.5
CELE_F01F1.12	aldo-2
CELE_T09A5.11	ostb-1
CELE_C52B9.7	paf-2
CELE_T22D1.4	ribo-1
COX2	COX2; Ptgs2; LOC100782702; PTGS2
CELE_C17D12.t2	C17D12.t2
CELE_F14F7.6	F14F7.6
CELE_K01A12.t2	K01A12.t2
CELE_T28B4.t1	T28B4.t1
CELE_Y37B11A.t2	Y37B11A.t2
CELE_Y67D8C.10	mca-3
CELE_C16D9.t4	C16D9.t4
CELE_C28A5.t3	C28A5.t3
CELE_T14G8.t1	T14G8.t1
CELE_F49C5.t4	F49C5.t4
CELE_F31E3.5	eef-1A.1
CELE_R07C3.4	acs-15
CELE_T03E6.t1	T03E6.t1
CELE_Y66H1B.2	fln-1
CELE_R102.4	R102.4
CELE_T07H6.t1	T07H6.t1
CELE_W09B12.1	ace-1
CELE_R151.3	rpl-6
CELE_F55F3.t1	F55F3.t1
CELE_K05G3.3	cah-3
CELE_F28H6.t1	F28H6.t1
CELE_F48D6.1	taf-11.1
CELE_F01G4.2	ard-1
CELE_T04D3.t4	T04D3.t4
CELE_F21F3.3	icmt-1
CELE_F33H1.3	F33H1.3
CELE_T01C1.t1	T01C1.t1
CELE_C08B11.8	C08B11.8
CELE_K04G2.5	ath-1
CELE_T10H9.4	snb-1
CELE_F08B4.7	F08B4.7
CELE_F39G3.1	ugt-61
CELE_Y105C5B.t3	Y105C5B.t3
CELE_Y41D4B.13	ced-2
CELE_F55A4.1	sec-22
