Gene Symbol and Synonyms,Gene Symbol
b1938,fliF
b0908,aroA
b4054,tyrB
b0403,malZ
b3771,ilvD
b3616,tdh
b3911,cpxA
b2166,psuK
b0810,glnP
b2024,hisA
b1415,aldA
b0734,cydB
b3281,aroE
b0071,leuD
b1709,btuD
b3727,pstC
b3213,gltD
b0969,tusE
b0756,galM
b2530,iscS
b2010,dacD
b2416,ptsI
b4095,phnM
b3204,ptsN
b2130,yehY
b2263,menH
b3652,recG
b0758,galT
b3809,dapF
b0023,rpsT
b3186,rplU
b0381,ddlA
b1748,astC
b2557,purL
b0166,dapD
b0680,glnS
b0109,nadC
b0407,yajC
b3310,rplN
b3325,gspD
b3544,dppA
b0612,citT
b0151,fhuC
b2041,rfbB
b2403,valY
b3830,ysgA
b1779,gapA
b2937,speB
b2678,proW
b0993,torS
b0388,aroL
b0594,entE
b1380,ldhA
b0367,tauC
b3253,acuI
b3041,ribB
b2697,alaS
b4153,b4153; frdB
b3957,argE
b3786,wecB
b2568,lepB
b1075,flgD
b1702,ppsA
b3062,ttdB
b2818,argA
b2223,atoE
b4177,purA
b2540,hcaC
b1612,fumA
b2691,argQ
b3553,ghrB
b3658,selC
b1478,adhP
b4270,leuX
b3760,aspT
b3962,sthA
b2049,cpsB
b1378,pfo
b2675,nrdE
b0572,cusC
b2245,rhmA
b0418,pgpA
b2260,menE
b0886,cydC
b2838,lysA
b1593,ynfK
b2219,atoS
b3882,yihU
b1084,rne
b0152,fhuD
b0915,lpxK
b0508,hyi
b1991,cobT
b1986,asnU
b2053,gmd
b3630,waaP
b2323,fabB
b3970,rrlB
b3447,ggt
b2239,glpQ
b4171,miaA
b0268,yagE
b2436,hemF
b2210,mqo
b1385,feaB
b1917,yecC
b2662,gabT
b2039,rfbA
b3460,livJ
b1224,narG
b0978,cbdA
b3968,rrsB
b0673,metT
b1054,lpxL
b1262,trpC
b0158,btuF
b4019,metH
b1950,fliR
b2148,mglC
b2699,recA
b4304,sgcC
b0743,lysT
b1736,chbA
b2696,csrA
b4323,uxuB
b2185,rplY
b0829,gsiA
b1230,tyrV
b1913,uvrC
b0774,bioA
b3073,patA
b3061,ttdA
b4388,serB
b0432,cyoA
b3222,nanK
b1887,cheW
b4383,b4383; deoB
b1623,add
b0061,araD
b0894,dmsA
b0809,glnQ
b0670,glnU
b0121,speE
b0091,murC
b3092,uxaC
b2762,cysH
b2168,fruK
b4002,zraP
b1744,astE
b1665,valV
b2215,ompC
b2368,emrK
b1946,fliN
b2988,gss
b2200,ccmB
b0748,lysZ
b1947,fliO
b2023,hisH
b3702,dnaA
b2329,aroC
b3365,nirB
b1421,trg
b0668,glnW
b0616,citE
b1479,maeA
b1955,yedP
b3549,tag
b0356,frmA
b4370,leuQ
b0911,rpsA
b3456,livM
b3397,nudE
b3428,glgP
b1609,rstB
b3336,bfr
b0871,poxB
b3141,agaI
b3703,rpmH
b3605,lldD
b2397,alaW
b1666,valW
b0420,dxs; b0420
b2715,ascF
b3621,waaC
b2097,fbaB
b0627,tatE
b2459,eutT
b4052,b4052; dnaB
b0160,dgt
b2029,gnd
b3976,thrU
b1394,paaG
b1243,oppA
b3338,chiA
b1650,nemA
b2904,gcvH
b2404,lysV
b0197,metQ
b3987,rpoB
b1771,ydjG
b2220,atoC
b0697,kdpB
b2954,rdgB
b3185,rpmA
b1901,araF
b0590,fepD
b1716,rplT
b2693,argY
b3304,rplR
b3052,hldE
b4122,fumB
b4006,purH
b2829,ptsP
b0578,nfsB
b2310,argT
b2553,glnB
b2957,ansB
b3803,hemX
b2383,fryA
b3588,aldB
b3804,hemD
b1858,znuC
b2074,mdtA
b0159,mtn
b3276,alaU
b2129,yehX
b1114,mfd
b2348,argW
b0174,ispU
b4172,hfq
b2441,eutB
b1190,dadX
b3648,gmk
b2201,ccmA
b4698,mgrR
b4008,gltV
b2802,fucI
b1281,pyrF
b1129,phoQ
b3942,katG
b0963,mgsA
b4544,arnE
b1896,otsA
b2542,hcaD
b0720,gltA
b3620,waaF
b2539,hcaF
b4106,phnC
b2242,glpB
b2515,ispG
b0194,proS
b2469,narQ
b0613,citG
b4513,kdpF
b0179,lpxD
b4053,alr
b0153,fhuB
b0173,b0173; dxr
b1276,acnA
b4139,aspA
b4070,nrfA
b2499,purM
b0998,torD
b0143,pcnB
b0311,betA
b0063,araB
b2211,yojI
b2453,eutG
b0622,pagP
b3625,waaY
b4119,melA
b2193,narP
b1392,paaE
b1264,trpE
b3202,rpoN
b4214,cysQ
b2509,xseA
b2700,pncC
b0221,fadE
b2259,pmrD
b1476,fdnI
b0206,aspU
b3904,rhaB
b2947,gshB
b3852,ileT
b2036,glf
b3210,arcB
b1617,uidA
b0003,thrB
b1897,otsB
b4565,sgcB
b3326,gspE
b3636,rpmG
b0032,carA; b0032
b0515,allE
b2610,ffh
b1386,tynA
b4092,phnP
b1937,fliE
b3298,rpsM
b2451,eutA
b2285,nuoE
b4386,lplA
b2878,ygfK
b0995,torR
b3316,rpsS
b1849,purT
b3960,argH
b0861,artM
b3330,gspI
b2276,nuoN
b0696,kdpC
b1207,prs
b4467,glcF
b0640,holA
b3546,eptB
b2367,emrY
b1089,rpmF
b0469,apt
b3541,dppD
b1244,oppB
b3068,mug
b1474,fdnG
b0517,allD
b0025,ribF; b0025
b2794,queF
b3065,rpsU
b0514,glxK
b3780,rhlB
b0066,thiQ
b0628,lipA
b1468,narZ
b3622,waaL
b3360,pabA
b0674,asnB
b1095,fabF
b2694,argV
b1069,murJ
b0008,talB
b3059,plsY
b4094,phnN
b2042,wcaN
b1288,fabI
b0133,panC
b0192,nlpE
b3320,rplC
b0595,entB
b0505,allA
b0731,mngA
b1636,pdxY
b0883,serW
b0727,sucB
b0677,nagA
b2422,cysA
b3983,rplK
b1246,oppD
b4399,creC
b3749,rbsA
b0185,accA
b2234,nrdA
b1842,holE
b2150,mglB
b1704,aroH
b0979,cbdB
b2428,murQ
b3236,mdh
b3457,livH
b4096,phnL
b0973,hyaB
b3996,nudC
b0934,ssuC
b2147,preA
b3991,thiG
b0201,rrsH
b3728,pstS
b2565,recO
b1329,mppA
b2965,speC
b2423,cysW
b1817,manX
b3462,ftsX
b3177,folP
b4384,deoD
b3626,waaR
b3463,ftsE
b0662,ubiF
b1215,kdsA
b4003,zraS
b2679,proX
b1012,rutA
b2747,ispD
b3589,yiaY
b2021,hisC
b3735,atpH
b3404,envZ
b3294,rplQ
b3174,leuU
b1247,oppF
b2243,glpC
b2744,umpG
b0125,b0125; hpt
b2241,glpA
b3307,rpsN
b2096,gatY
b0522,purK
b0535,sfmZ
b0331,prpB
b0431,cyoB
b4245,pyrB
b3559,glyS
b1939,fliG
b1747,astA
b3969,gltT
b4287,fecE
b0171,pyrH
b4192,ulaG
b0098,secA
b0455,ffs
b3026,qseC
b2401,valU
b4232,fbp
b0202,ileV
b2217,rcsB
b1119,nagK
b4088,alsB
b1606,folM
b3730,glmU
b3761,trpT
b1223,narK
b3114,tdcE
b1391,paaD
b3255,accB
b0087,mraY
b1603,pntA
b0767,pgl
b3479,nikD
b3797,hisR
b3341,rpsG
b0935,ssuD
b1292,sapC
b2827,thyA
b2258,arnF
b3432,glgB
b0870,ltaE
b3417,malP
b0430,cyoC
b0339,cynT
b3894,fdoG
b2297,pta
b3893,fdoH
b3313,rplP
b0154,hemL
b3072,aer
b0029,ispH
b0980,appA
b2370,evgS
b3705,yidC
b4195,ulaC
b1622,malY
b3172,argG
b3805,hemC
b0570,cusS
b2078,baeS
b2955,yggW
b0088,murD
b1398,paaK
b0864,artP
b2288,nuoA
b0862,artQ
b4288,fecD
b2309,hisJ
b2692,argZ
b4196,ulaD
