Gene Symbol and Synonyms,Gene Symbol
Rv1595,nadB
Rv0373c,Rv0373c
Rv3011c,gatA
Rv2785c,rpsO
Rv1027c,kdpE
Rv2594c,ruvC
Rvnt38,metU
Rv0855,far
Rv0652,rplL
Rv2068c,blaC
Rvnt18,argV
Rv3499c,mce4A
Rv0392c,ndhA
Rv1781c,malQ
Rv0904c,accD3
Rv0237,lpqI
Rv0705,rpsS
Rv2350c,plcB
Rv0400c,fadE7
Rv0510,hemC
Rv2964,purU
Rv0700,rpsJ
Rv3627c,Rv3627c
Rv0760c,Rv0760c
Rv0650,Rv0650
Rv0363c,fba
Rv2726c,dapF
Rv0932c,pstS2
Rv2835c,ugpA
Rv3423c,alr
Rvnt39,thrU
Rv2344c,dgt
Rv0709,rpmC
Rv0714,rplN
Rv2335,cysE
Rv1238,sugC
Rv3247c,tmk
Rv1609,trpE
Rv0266c,oplA
Rv2289,cdh
Rv3465,rmlC
Rv3561,fadD3
Rv3170,aofH
Rv0707,rpsC
Rv3375,amiD
Rv3339c,icd1
Rv3545c,cyp125
Rv1712,cmk
Rv2996c,serA1
Rv2987c,leuD
Rv3854c,ethA
Rv2383c,mbtB
Rv1964,yrbE3A
Rv3266c,rmlD
Rv2200c,ctaC
Rv0306,Rv0306
Rv2326c,Rv2326c
Rv0928,pstS3
Rv3409c,choD
Rv1629,polA
Rv0884c,serC
Rv1650,pheT
Rv2847c,cysG
Rv0535,Rv0535
Rv0935,pstC1
Rv0706,rplV
Rv2832c,ugpC
Rv3442c,rpsI
Rv0780,purC
Rv3469c,mhpE
Rv3406,Rv3406
Rv3534c,hsaF
Rv1700,Rv1700
Rv0375c,Rv0375c
Rv1005c,Rv1005c
Rv1970,lprM
Rv3396c,guaA
Rv0794c,Rv0794c
Rv2687c,Rv2687c
Rv3107c,agpS
Rv1642,rpmI
Rv3763,lpqH
Rv2888c,amiC
Rv0534c,menA
Rv0673,echA4
Rv1564c,treX
Rv2781c,Rv2781c
Rv2973c,recG
Rv2058c,rpmB2
Rv3537,kstD
Rv0002,dnaN
Rv0753c,mmsA
Rv1029,kdpA
Rv0169,mce1A
Rv0482,murB
Rv1142c,echA10
Rv2155c,murD
Rv0708,rplP
Rv1833c,Rv1833c
Rv2916c,ffh
Rv1384,carB
