stm00623;dlhH
stm00290;leuD
stm00290;leuC
stm00290;leuB
stm00290;leuA
stm00290;ilvI
stm00290;ilvH
stm00290;STM0329
stm00290;STM0330
stm00290;yfbQ
stm00290;tdcB
stm00290;STM3531
stm00290;avtA
stm00290;ilvN
stm00290;ilvB
stm00290;ilvG
stm00290;ilvM
stm00290;ilvE
stm00290;ilvD
stm00290;ilvA
stm00290;ilvC
stm00010;aceE
stm00010;aceF
stm00010;lpdA
stm00010;pgm
stm00010;gpmA
stm00010;galM
stm00010;agp
stm00010;ptsG
stm00010;yeaD
stm00010;gapA
stm00010;celF
stm00010;pfkB
stm00010;pykF
stm00010;adhP
stm00010;STM1627
stm00010;nifJ
stm00010;adhE
stm00010;pykA
stm00010;fbaB
stm00010;glk
stm00010;crr
stm00010;eutG
stm00010;STM2757
stm00010;STM2758
stm00010;eno
stm00010;bglA
stm00010;fba
stm00010;pgk
stm00010;STM3254
stm00010;pckA
stm00010;aldB
stm00010;pmgI
stm00010;STM3775
stm00010;yihR
stm00010;STM4044
stm00010;pfkA
stm00010;tpiA
stm00010;glpX
stm00010;pgi
stm00010;acs
stm00010;fbp
stm00010;gpmB
stm00540;lpxC
stm00540;lpxD
stm00540;lpxA
stm00540;lpxB
stm00540;yaeD
stm00540;gmhA
stm00540;lpxH
stm00540;lpxK
stm00540;kdsB
stm00540;htrB
stm00540;kdsA
stm00540;msbB
stm00540;rfaE
stm00540;kdsD
stm00540;kdsC
stm00540;yhjW
stm00540;rfaD
stm00540;rfaF
stm00540;rfaC
stm00540;rfaL
stm00540;rfaK
stm00540;rfaZ
stm00540;rfaY
stm00540;rfaJ
stm00540;rfaI
stm00540;rfaB
stm00540;rfaP
stm00540;rfaG
stm00540;rfaQ
stm00540;kdtA
stm00540;STM4118
stm00860;hemL
stm00860;hemB
stm00860;cyoE
stm00860;hemH
stm00860;cobC
stm00860;cobD
stm00860;cobA
stm00860;hemA
stm00860;cobT
stm00860;cobS
stm00860;cobU
