Gene ID	Gene Symbol	
428691	CYSLTR1	
421492	HNRNPU	
427904	GALR3	
422415	RXFP1	
415551	RPL4	
427360	MPDZ	
423336	GEMIN2	
421833	NT5E	
408043	LAMC2	
417249	ATP6V1G1	
419531	ENTPD4	
419315	STX16	
396445	MYLK	
431264	S1PR3	
770249	RPL29	
420780	TPK1	
107057143	LOC107057143	
428104	FGF23	
426430	OAT	
427327	RASA1	
769031	MRPL12	
100049617	FAAP100	
374189	ME1	
428659	CAD	
374165	FABP4	
424177	GALNT3	
421694	HBS1L	
415557	MAP2K5	
428457	CCR4	
100857837	LOC100857837	
421248	PYGB	
415609	WDR36	
l-rRNA	-	
421551	PSMB1	
395070	POFUT1	
423641	UBE2D1	
395655	NOTCH1	
101748948	NMNAT1	
395607	CHRNA2	
424286	MGAT5	
423588	GNPNAT1	
416329	RAD50	
428277	LOC428277	
426297	PCYOX1	
395509	PDGFRA	
415951	IPPK	
415786	CES1	
417626	RAD51C	
424442	LAMC1	
422560	GALNTL6	
416845	ORAI1	
420876	RPP40	
424827	VAMP2	
428209	PTAFR	
418982	MMP1	
417472	MTMR4	
425978	SH2D2A	
396251	THRA	
770257	CHST6	
422230	IL13RA1	
100216364	PSMD4	
416393	ALG1	
420642	GALNT15	
386581	ATP4B	
424691	PGM1	
418670	PPP2R3B	
769069	EDA	
417051	DMB2	
769385	CACNA1G	
420253	RRM2B	
422093	PCYT2	
107050898	NDUFB7	
770453	SRD5A1	
107052471	LIPT2	
418909	KL	
428266	YOD1	
373945	ABCA1	
423679	ASAH2	
426892	FP325317.1	
395561	WNT4	
416657	ECI1	
424930	B3GNT7	
425306	LAP3	
776720	LOC776720	
396435	TPI1	
419049	RPS11	
100858027	LLGL1	
395507	P2RX5	
423698	HKDC1	
418744	CUL4A	
395403	TRA2B	
424971	PIK3CA	
427458	HNRNPK	
418489	GRIK1	
419713	SRPRA	
423227	PLA2G4E	
395847	MLLT11	
772225	SLC25A5	
422115	ATP5H	
421898	AGPAT5	
415358	HYKK	
374177	HIF1A	
421692	PDE7B	
386583	MMP2	
420160	LOC420160	
422347	IRS4	
416256	FAXDC2	
396136	LCAT	
423416	CPSF2	
429125	GRK7	
424228	BIN1	
395479	PPARD	
428906	BDKRB2	
101749627	P2RY14	
420571	DYNC1I1	
428994	CPS1	
416757	TELO2	
417498	DERL2	
421169	TUBA3E	
422207	RHOG	
769787	HSD17B12	
421450	XPO5	
419770	FXYD2	
426849	LMAN1	
100857191	LOC100857191	
421749	LAMA4	
416804	PIWIL1	
423122	FADS2	
107050551	LOC107050551	
423600	CAT	
395930	RABEP1	
421929	CPSF3	
415668	AARS	
100858021	PIGF	
100859759	LOC100859759	
419593	SYF2	
396199	PARP1	
416837	ARPC3	
415787	LOC415787	
100858205	LOC100858205	
418223	A4GALT	
419999	PIP4K2B	
395410	ABL2	
420890	GMDS	
417559	PRPF8	
423349	ABCD4	
770813	MRPS18C	
416700	EXOC4	
421537	ABCB10	
422990	PSMD13	
416182	ETF1	
769735	COX5A	
423518	RP11-47I22.4	
418302	GSTK1	
396538	AGRN	
395492	ALDOC	
396261	GOT1	
416769	AL158801.1	
395635	HDAC2	
424746	ATG16L1	
395743	GAD1	
424082	TRAK2	
427909	CACNG2	
395480	RGN	
417343	HEXDC	
419396	PEX10	
421745	DSE	
770275	TNFRSF13B	
768858	CD2	
107050681	LOC107050681	
418248	RBM17	
415549	MAP2K1	
395264	ALDH1A1	
421685	IFNGR1	
396414	RRBP1	
374035	GIT2	
421574	PDE10A	
396191	TFRC	
422143	CHMP1B	
426314	SUV39H2	
395318	PSMA7	
415689	LDHD	
419056	SPCS2	
396240	CAPN11	
395504	GATM	
428251	HYOU1	
423763	RP11-411B6.6	
416226	CLTB	
414897	KMT2A	
427800	UTS2R	
771761	THL	
422319	LOC422319	
418333	GPR156	
418925	POMP	
424980	NLGN1	
419514	GFPT1	
428812	LOC428812	
427508	SV2B	
417135	INPP5E	
769981	RPL37A	
417898	UBE2N	
373909	EDNRB2	
418697	LIPT1	
417750	WASL	
771985	PTPRR	
101749098	ITGA7	
423379	SPTLC2	
424336	NTNG1	
424288	ACMSD	
420653	UBE2E1	
420105	STK11	
422316	LOC422316	
107050792	PORCN	
395719	TK1	
415334	SEC11A	
425056	CYP17A1	
107055136	SMAD4	
100857815	BCAP31	
423163	TRAF6	
420167	SGK3	
395886	MITF	
424436	MRPS14	
107053160	PFN4	
424011	ABCA12	
423030	PARVA	
420479	MAP3K8	
424171	G6PC2	
395546	SFRP2	
421614	GRM1	
424384	TNFSF4	
769340	CLDN20	
374038	CBL	
395931	GABRA6	
429086	RDH8	
396416	PTK2	
100857499	LOC100857499	
426450	ETHE1	
417553	CRK	
423675	PTEN	
425011	LOC425011	
378918	TRAM1	
396464	NPY	
424413	STX6	
395878	PAPOLA	
420193	IL7	
423795	RPP30	
420858	ELOVL2	
107049523	TAZ	
424685	USP1	
424804	CUL3	
776411	SNRPD1	
416880	RP11-162P23.2	
423711	SAR1A	
419783	DDX6	
395335	CISH	
427389	AP3S1	
424389	DNM3	
418620	CTPS2	
415875	DHX38	
100858838	PIM1	
419891	FANCE	
427577	GLYCTK	
418265	MAN1A2	
415327	PATL2	
100859332	PPIL1	
417637	RPS6KB1	
776036	CHMP2A	
424205	NHEJ1	
418528	TMPRSS2	
423085	PTPN5	
423871	NT5C2	
417485	NCF1	
421197	PEX13	
100857744	LOC100857744	
428857	FGF4	
418121	AGK	
416487	SMURF1	
395606	CHRNA4	
425637	RP11-343C2.11	
396215	MYL9	
417853	PTPRB	
396379	HMGCS1	
427575	GRM2	
395112	POFUT2	
396181	ITGB2	
396231	RXRG	
418377	CPOX	
431669	RMI1	
425396	PNPLA6	
423979	HIBCH	
769109	ARR3	
101748842	PARD6A	
396524	COL9A2	
418131	YARS2	
100857683	FNTB	
417628	TRIM37	
416811	AACS	
107050261	LOC107050261	
378783	KIT	
107056801	LOC107056801	
396533	GOT2	
396394	PLA2G4A	
417443	ABCA9	
395760	SLC8A1	
417275	POLE3	
420293	PYCRL	
395415	MGAT4C	
430997	PABPC1	
427787	GLP2R	
427982	CLDN14	
107049507	ARF3	
431664	RXFP3	
101751397	FLOT1	
424208	PRKAG3	
