Gene ID	Gene Symbol	
736978	LOC736978	
451772	ANO2	
470530	HS6ST1	
748061	UBE2L3	
456546	PLK3	
474097	LOC474097	
451355	RCE1	
463292	TRA2A	
469158	LOC469158	
tRNA-Asp	-	
742898	TNFRSF10B	
452613	EDNRB	
739534	PHGDH	
740420	PPBP	
472569	LOC472569	
472713	TNFRSF10C	
460023	SAG	
468603	SPIRE1	
748437	PARVA	
473375	GUCY2C	
746456	FCGR2B	
468393	HS3ST3B1	
747549	SHFM1	
473843	LOC473843	
456828	PTPRF	
749854	CDC34	
467939	SPN	
470662	MOGAT1	
100608252	ECH1	
469204	EIF4G3	
737318	SLU7	
458633	ATP6V1E1	
470950	GRK7	
471772	MAML1	
453118	LGMN	
468335	UBE2O	
465507	PIGA	
457349	ADAR	
736796	SEPHS1	
470208	PLA2G6	
459218	MSH6	
463235	CARD11	
458093	PLCB4	
460894	LOC460894	
104001061	EXOC3	
452533	RFC3	
467025	LOC467025	
467469	PSMA3	
736244	MAP3K2	
459700	LOC459700	
466335	LOC466335	
470771	THRB	
457220	PEX10	
737048	ARPC3	
745772	CFL1	
100125867	KIR2DL1	
465098	ZCCHC7	
459036	LPIN1	
747631	DAPK2	
747038	TEAD3	
471504	HOMER1	
744935	CKM	
746738	STAR	
739665	FGF20	
460892	CHRD	
455877	NDUFA13	
468150	LOC468150	
751950	MIR19B-2	
455474	CNDP1	
464327	FZD6	
460662	TXNRD3	
104001053	COL1A1	
741106	CACNG1	
746091	CTNNA3	
465229	IARS	
744903	RPL3	
749307	UBA1	
463015	HBS1L	
460457	CACNA2D3	
100612319	LOC100612319	
100613667	-	
468685	TUBB4A	
462437	EDN1	
466008	CALML3	
736760	NT5C	
739066	PTDSS2	
467487	RAD51B	
457567	NPL	
450691	MGEA5	
469153	E2F2	
465337	LDHB	
740879	AFMID	
453319	THBS1	
100615394	P2RX2	
462749	TNFRSF21	
745942	CDKN2D	
458294	MMP9	
493976	FUT6	
743556	CLDN22	
473740	HTR2C	
470338	CAD	
473557	LOC473557	
736157	LOC736157	
742785	FEV	
450957	KCNQ1	
465315	STRAP	
470692	TWIST2	
462298	HK3	
461371	HERC3	
471629	LOC471629	
741751	LOC741751	
470256	PI4KA	
744983	LOC744983	
463554	DLX5	
463280	HDAC9	
465105	EXOSC3	
473051	LOC473051	
464473	RPL8	
746068	PRKCH	
468279	PLCD3	
742679	DHX58	
457711	TRAF5	
736853	LOC736853	
455708	ATG4D	
464031	LPL	
458202	GDF5	
471049	LOC471049	
742376	LOC742376	
101057768	PAN2	
459068	NCOA1	
461315	KDR	
462318	NHP2	
466406	LOC466406	
747186	GABRD	
467693	AQP9	
455128	CACNA1G	
104002580	FUS	
473122	TAF1L	
464371	FBXO32	
459469	FHL2	
100613097	SGMS2	
740321	UTP15	
450310	PHYH	
746611	LOC746611	
459463	IL18R1	
453014	NUMB	
100608066	LOC100608066	
743384	ADI1	
744481	SEC62	
454679	LOC454679	
745783	MUC2	
454690	COASY	
452909	PSMC6	
466176	HPSE2	
452205	CRY1	
469266	YARS	
735408	-	
468262	GAST	
746488	RPL7A	
470780	CNOT10	
746909	FABP5	
452825	GZMB	
460225	UBE2E2	
463127	RPS6KA2	
464771	SPTAN1	
462757	PGK2	
473099	MAN1B1	
472968	RMI1	
461592	CPE	
470294	ALLC	
463094	SYNJ2	
454566	NF1	
745268	LOC745268	
464191	LOC464191	
470417	SUCLG1	
469411	LOC469411	
473873	BMP15	
468918	KLC3	
450596	PPP1R3C	
460414	ACY1	
451897	SLC11A2	
453054	TGFB3	
462399	LOC462399	
471523	NAIP	
456159	SAE1	
455314	LOC455314	
472832	RRM2B	
450361	APBB1IP	
465331	SLCO1B1	
471294	TRPC3	
470795	CCR8	
460328	CCDC12	
454750	MAP3K14	
748291	LOC748291	
737597	LAMP2	
460219	KAT2B	
451405	PDE2A	
464173	RB1CC1	
459464	LOC459464	
455014	TRPV2	
737081	CYBRD1	
468149	OR1A1	
738472	TBP	
470660	EPHA4	
470698	LOC470698	
451299	PYGM	
450362	PDSS1	
472177	SLC22A1	
463547	PON1	
450676	SCD	
745411	LOC745411	
459852	HSPD1	
469746	LOC469746	
104004614	LOC104004614	
746353	RAB3D	
470717	ABCB11	
454210	AARS	
453349	ITPKA	
735843	KLC4	
101056934	FGF8	
460285	EIF1B	
749343	LOC749343	
471725	GABRA6	
740202	PDGFA	
741685	CD82	
100608898	LOC100608898	
735830	LOC735830	
736736	CAPZA2	
472467	SERPINE1	
104003264	ACP5	
100609679	LOC100609679	
751936	MIR20A	
473989	HLCS	
469952	RBPJL	
462922	SESN1	
748526	LOC748526	
469657	IL10	
744351	EARS2	
739850	LOC739850	
741890	LOC744748	
468521	GALNT1	
739133	STRADA	
462387	EXOC2	
746302	LOC746302	
471939	LOC471939	
459619	LOC459619	
735751	IFNL3	
450804	LHPP	
451376	CHKA	
737247	PMAIP1	
100612511	MT1HL1	
470645	CXCR1	
463471	LOC463471	
740555	POLR2L	
455311	DLGAP1	
468773	CERS1	
743392	RAPGEF6	
468019	CHST4	
100609026	RFC4	
458629	IL17RA	
469261	HCRTR1	
454435	ITGAE	
100611553	LOC100611553	
452785	OXA1L	
100608783	LOC100608783	
745626	LOC745626	
451660	KCNJ5	
459135	NLRC4	
740571	LOC740571	
473203	IFNE	
742937	SLC25A31	
471564	PRKAA1	
464134	IDO1	
468948	FGF21	
737779	LOC737779	
100610452	PTGDS	
104003468	LOC104003468	
451326	MAP3K11	
738237	LOC738237	
461872	GPX8	
457983	RBM8A	
467751	NTRK3	
455106	SPOP	
462167	LARS	
468748	NDUFB7	
457103	WNT2B	
451329	KAT5	
469529	LOC469529	
457849	FMN2	
457573	NCF2	
458750	SF3A1	
461823	MCCC2	
450114	ST3GAL1	
749028	PINK1	
458748	MTMR3	
459363	MAT2A	
469296	CTPS1	
456715	LCK	
100610925	STAT4	
736322	MMP16	
451756	TEAD4	
458905	UPK3A	
473656	P2RY4	
471255	PDHA2	
807858	CYTB	
104003972	LOC104003972	
461866	IL6ST	
462875	RARS2	
451264	TAF6L	
471311	MAML3	
744932	DFFB	
466828	LOC466828	
451475	FOLH1B	
451169	SPI1	
737449	CTSL	
468297	LOC468297	
462852	PGM3	
457421	CD1E	
467029	RDH5	
738374	LOC738374	
470606	GLS	
464232	RPL7	
459952	WNT10A	
465879	FHL1	
466530	LOC466530	
450528	-	
464351	TNFRSF11B	
449634	SOD2	
100612695	LOC100612695	
451267	NXF1	
471730	LOC471730	
736309	LIF	
463989	LOC463989	
464002	TUSC3	
470830	ABHD6	
104008438	LOC104008438	
462344	RACK1	
460444	DCP1A	
463992	NEIL2	
743262	NDUFA7	
472136	TNFAIP3	
466887	LOC466887	
454057	ORAI3	
467777	CHSY1	
470348	RASGRP3	
451122	CD44	
460851	GHSR	
472747	AP3M2	
467221	IL17D	
459784	TTN	
461604	LOC461604	
464099	GSR	
461158	ARAP2	
464917	CARD9	
452715	RB1	
464056	ENTPD4	
463867	AKR1B10	
457618	TNNT2	
453692	SNRPA1	
461406	NFKB1	
455350	AQP4	
468665	FZR1	
467085	MGAT4C	
747142	CRK	
745986	MAN2A2	
451584	CD3D	
469458	GNB1	
451393	DHCR7	
100616510	GSK3B	
740889	EXOSC4	
746205	CCL21	
457844	MTR	
472624	AGAP3	
450739	ACSL5	
743748	TRAF1	
455525	PLPP2	
458096	SNAP25	
456833	LOC456833	
457385	LMNA	
747442	CCND1	
464737	PBX3	
461480	PLK4	
464844	LOC464844	
466383	LOC466383	
449626	MED12	
473313	LOC473313	
469771	LOC469771	
747565	IRF3	
104004350	LOC104004350	
458233	CTNNBL1	
100610270	LOC100610270	
452622	DCT	
465034	ACO1	
472950	GDA	
464086	EXTL3	
100610704	SLC17A6	
745404	IST1	
465650	HUWE1	
472562	TAS2R41	
460190	HDAC11	
459381	ANAPC1	
459373	POLR1A	
738474	OGDH	
466460	LDHAL6A	
462616	BAK1	
459371	ST3GAL5	
454083	NOD2	
100613950	LOC100613950	
743067	GRID2	
468944	FUT2	
464977	AK3	
453365	SNAP23	
467109	CHPT1	
466342	LOC466342	
466023	BMI1	
738764	LOC738764	
465887	F9	
741431	G6PC2	
101059843	IL2RG	
747191	XPA	
466685	ALDH3B2	
464979	JAK2	
471910	LOC471910	
469156	ACTN2	
449505	POFUT2	
471880	LOC471880	
100316045	MIR1-2	
101059354	ATF2	
452792	ACIN1	
743460	ABCA13	
739593	PNLIPRP3	
741321	CSN2	
470971	ARHGEF26	
464593	LOC464593	
471505	DMGDH	
453565	IDH3A	
100615048	CPLX3	
452539	SMAD9	
465940	LOC465940	
464236	TCEB1	
458967	AP1B1	
464675	ALAD	
465712	HDAC8	
462580	PPT2	
471235	REST	
461539	GATB	
465121	DLL1	
464584	SEMA4D	
747431	MPZ	
472871	-	
457138	AP4B1	
459988	COL4A3	
460057	PER2	
468050	MBTPS1	
473316	LOC473316	
465261	FBP2	
450909	LOC450909	
460060	HDAC4	
461567	CTSO	
463004	STX7	
464380	NDUFB9	
746104	LOC746104	
454774	GH1	
739490	LOC739490	
737708	LOC737708	
747215	LOC747215	
100125359	KIR3DL5	
471729	WWC1	
450205	KIR2DL4	
460095	SPOPL	
466347	LOC466347	
471894	LOC471894	
747819	BACE2	
744553	LOC744553	
463064	RAET1E	
450543	POLR3A	
471920	GPX6	
741872	ATP6V0D1	
457564	CACNA1E	
461461	PDE5A	
741507	RENBP	
461698	LPCAT1	
741406	CACNG4	
742163	-	
451467	ME3	
451007	EIF3F	
451228	PRPF19	
452952	SIX1	
461803	POLK	
457571	LAMC2	
744813	GNAT1	
451330	RNASEH2C	
464723	PSMB7	
466453	TPH1	
747009	LOC747009	
450177	MAPT	
464184	RPS20	
463568	ARPC1B	
100610135	PLA2G4D	
468657	LMNB2	
459685	TANK	
100316036	MIRLET7E	
100610228	SERPINA5	
466225	PSTK	
457127	CSF1	
750513	UBE2G1	
460542	LOC460542	
463891	CDK5	
747027	UBE2R2	
748909	CA3	
463807	LOC463807	
458648	CLTCL1	
469986	LOC469986	
737923	GCK	
455473	CNDP2	
455634	ACSBG2	
456278	LOC456278	
104003219	MADCAM1	
452227	GIT2	
738098	LOC738098	
460762	AGTR1	
469992	PPP1R3D	
463912	INMT	
100316035	MIRLET7D	
463464	CLDN4	
459171	SOS1	
737573	SRP14	
460387	SEMA3F	
450738	GPAM	
737235	ARPC1A	
453097	PSMC1	
453056	ESRRB	
462770	LOC462770	
100609808	LOC100609808	
462546	DHX16	
461240	NUP54	
473319	LOC473319	
739276	TAF7L	
100613517	SNRNP27	
104008441	LOC104008441	
750632	EFNB3	
459209	SOCS5	
451140	EXT2	
473290	PIWIL3	
737870	S100G	
465938	EMD	
454677	KAT2A	
455810	EPS15L1	
460220	SGO1	
464823	GBGT1	
471491	XRCC4	
473275	ABCC11	
458131	XRN2	
464329	RIMS2	
458809	CYTH4	
465330	SLCO1B7	
460646	ITGB5	
470683	INPP5D	
465060	DNAI1	
452119	LUM	
460588	BOC	
736832	KLRB1	
456343	ZNF274	
465914	LOC465914	
449640	LILRB5	
468087	NTHL1	
736416	NPPA	
464354	TAF2	
747093	BAX	
468296	LOC468296	
460254	GLB1	
465502	GLRA2	
458733	CHEK2	
494140	CFB	
456887	C8B	
459873	CASP10	
453545	RPLP1	
459710	B3GALT1	
100609927	LOC100609927	
461542	FBXW7	
458357	BMP7	
100608758	SAR1A	
463363	AMPH	
452965	MTHFD1	
455066	DNAH9	
472740	RAB11FIP1	
472270	CHST12	
451775	CD9	
461502	MGAT4D	
464272	CNGB3	
466421	LOC466421	
453257	HERC2	
746870	AVP	
751904	MIR29B-2	
469854	LOC469854	
461692	NKD2	
101057323	TGIF2	
738624	HDAC3	
100551503	TNFSF12	
742398	SFRP2	
460825	NMD3	
454417	SMG6	
100612661	RPS27L	
471631	LOC471631	
466603	LOC466603	
470578	DHRS9	
100609964	CACNG5	
741434	SLC11A1	
100611125	VPS25	
465008	SH3GL2	
456963	AK5	
450200	IL1B	
747915	ATP4A	
741747	LOC741747	
450990	SMPD1	
471927	LOC471927	
466403	LOC466403	
461558	FGB	
736918	LOC736918	
743977	RASSF5	
457474	PBX1	
739837	CHD8	
471742	DUSP1	
451380	LRP5	
744860	GNA15	
454498	EPN2	
461082	GRK4	
736013	M6PR	
472993	ALG2	
743147	LOC743147	
467996	LOC467996	
457677	CTSE	
464655	LPAR1	
742189	AP3B2	
464177	LYPLA1	
451587	KMT2A	
452130	PLXNC1	
457514	DNM3	
470661	FARSB	
473966	LOC473966	
740060	LHX5	
461384	SMARCAD1	
459332	DCTN1	
735328	SPTLC3	
464974	SLC1A1	
454698	RAMP2	
452301	RPLP0	
453949	MYH11	
739600	-	
464297	SDC2	
469856	ANGPT4	
462044	ACSL6	
452121	BTG1	
466658	FAU	
466723	NARS2	
461715	-	
458516	LOC458516	
470538	ARHGEF4	
737085	MGST2	
472497	LOC472497	
748700	PKM	
452211	SELPLG	
452801	MYH6	
457329	NPR1	
464758	PIP5KL1	
463740	EXOC4	
748398	GLYAT	
458735	XBP1	
459229	PSME4	
744802	PSME2	
749701	-	
747814	HSD17B7	
454702	LOC454702	
747710	FGF19	
467738	FAH	
747558	LOC747558	
457418	CD1A	
465217	PRICKLE2	
735870	GYPC	
740006	RAB11FIP5	
471895	LOC471895	
473660	NLGN3	
743010	ELAVL1	
455792	NOTCH3	
467664	PLA2G4E	
458308	NCOA3	
451567	PAFAH1B2	
101057616	OPLAH	
472493	AASS	
459683	LOC459683	
471888	LOC471888	
461436	ELOVL6	
100610052	LOC100610052	
745456	PHF5A	
737222	SNUPN	
736568	NMRK2	
744068	DNAJC5B	
454876	LOC454876	
451778	LTBR	
453744	LOC453744	
745514	POLR3H	
736004	SELP	
469768	LOC469768	
456057	AXL	
460670	RUVBL1	
462187	CSF1R	
459576	SCTR	
466972	LOC466972	
742848	NDUFS6	
735556	ITK	
744684	LOC744684	
462717	ABCC10	
467338	GRK1	
455347	TAF4B	
461178	UBE2K	
461229	CCNG2	
450319	DCLRE1C	
457687	PFKFB2	
457109	ATP5F1	
449578	DRD4	
461660	SEC24D	
736431	AP2M1	
457040	ALG14	
461632	SLC25A4	
453414	SHC4	
471640	CXCL14	
469325	GPX7	
471144	HS3ST1	
461425	LEF1	
466071	SLC18A3	
460547	ST3GAL6	
466385	LOC466385	
737006	DHRS3	
451659	FLI1	
468641	STK11	
459638	LOC459638	
459854	MARS2	
100614082	-	
744617	NPY	
744388	TNFRSF13B	
468443	LOC468443	
469535	LOC469535	
451776	SCNN1A	
464462	SLC39A4	
465489	LOC465489	
746336	DUSP8	
453974	LOC453974	
465842	GRIA3	
741179	IDH3G	
746968	CDK6	
