Gene ID	Gene Symbol	
103627019	LOC103627019	
103652836	LOC103652836	
103637324	LOC103637324	
100216648	csu474(rpS14)	
100280595	csu733(rpL39)	
100286133	pco085544(477)	
100285342	umc2759	
100193596	umc1048	
103630048	LOC103630048	
100285910	LOC100285910	
100274089	bZIP52	
100193560	LOC100193560	
103643972	LOC103643972	
103638108	LOC103638108	
100191602	LOC100191602	
100281855	LOC100281855	
100283770	LOC100283770	
103627003	LOC103627003	
103627697	LOC103627697	
100279807	umc2251	
100285601	IDP2456	
103645365	LOC103645365	
100384063	LOC100384063	
103637119	LOC103637119	
103633479	LOC103633479	
541835	gst20	
100281587	LOC100281587	
100282410	LOC100282410	
100383359	LOC100383359	
103625822	LOC103625822	
100279620	LOC100279620	
103634738	LOC103634738	
103633096	LOC103633096	
103646537	LOC103646537	
541773	rop1	
100282837	pco090977	
103646055	LOC103646055	
103627452	LOC103627452	
100273604	LOC100273604	
100502543	LOC100502543	
100382295	si945020c09(283)	
542245	LOC542245	
100273655	LOC100273655	
100282438	pco088410	
100383492	LOC100383492	
103647301	LOC103647301	
103649602	LOC103649602	
100285591	LOC100285591	
100283190	LOC100283190	
100192626	pco134015(728)	
100283234	LOC100283234	
100383181	si486045a09	
103654004	LOC103654004	
100194297	cl765_1	
103641137	LOC103641137	
845234	rps19	
100281830	LOC100281830	
100191671	AY109534	
100274052	pco079415(520)	
100284896	LOC100284896	
103644325	LOC103644325	
103625832	LOC103625832	
100281958	LOC100281958	
100282259	LOC100282259	
103627995	LOC103627995	
100285786	si618065b11	
103632226	LOC103632226	
100282625	LOC100282625	
100381870	LOC100381870	
103654058	LOC103654058	
103641411	LOC103641411	
103637967	LOC103637967	
100275241	LOC100275241	
100282968	LOC100282968	
103642093	LOC103642093	
103630362	LOC103630362	
100272919	pco134753	
100280715	LOC100280715	
103651843	LOC103651843	
100285001	LOC100285001	
103638222	LOC103638222	
103644323	LOC103644323	
103636447	LOC103636447	
100381512	LOC100381512	
103631244	LOC103631244	
100281802	LOC100281802	
541638	RR9	
100303826	LOC100303826	
845247	trnF	
103637829	LOC103637829	
100856965	LOC100856965	
103654811	LOC103654811	
100272844	LOC100272844	
103630487	LOC103630487	
100191412	LOC100191412	
103639423	LOC103639423	
100273711	LOC100273711	
100285224	LOC100285224	
100284979	LOC100284979	
103648933	LOC103648933	
100279490	LOC100279490	
100273903	gpm882	
103644635	LOC103644635	
100285056	LOC100285056	
103645686	LOC103645686	
542052	mha4	
100136878	sbe3	
103652482	LOC103652482	
100281538	LOC100281538	
100280209	LOC100280209	
100193357	pco093185f	
542753	csr1	
100216874	pco062167	
100274530	pco152633a	
103626103	LOC103626103	
100383335	pco075894	
100502503	LOC100502503	
103630720	LOC103630720	
100502310	LOC100502310	
103645629	LOC103645629	
100501174	LOC100501174	
100281038	LOC100281038	
103631842	LOC103631842	
541942	csu503(met)	
100194257	IDP664	
845271	trnS	
100281235	LOC100281235	
845270	trnS	
100283131	LOC100283131	
103643238	LOC103643238	
