KEGG Gene ID	Gene Symbol
mcc:709935	PPP1CC
mcc:696568	ZFPM2
mcc:712368	DPYSL2
mcc:712661	-
mcc:707712	OR5I1
mcc:695085	SCN5A
mcc:713224	RCE1
mcc:721002	LOC721002
mcc:717749	DCPS
mcc:701295	CASP10
mcc:574242	NCR1
mcc:699472	NR1D1
mcc:704359	ARFGEF1
mcc:699152	OR4D9
mcc:701668	GTF2F2
mcc:709683	MID1
mcc:703367	ATG4A
mcc:695843	LRP6
mcc:705166	UROD
mcc:694784	GALNT15
mcc:696842	ST3GAL5
mcc:718834	PKN1
mcc:100315505	MIR16-2
mcc:695537	MITF
mcc:697724	KLF3
mcc:721855	COL6A1
mcc:710839	SH2B3
mcc:718890	DNAJB1
mcc:695638	CLDN10
mcc:696969	APOA1
mcc:701451	TNFSF14
mcc:716155	C8B
mcc:705382	-
mcc:700507	SNX2
mcc:694577	DCT
mcc:714752	ARHGDIA
mcc:722758	EVC2
mcc:703239	TGFB3
mcc:716066	GAS6
mcc:710775	CSNK1A1
mcc:100423532	LOC100423532
mcc:697823	-
mcc:714646	TYRP1
mcc:106996400	-
mcc:100426173	NDUFC2
mcc:696332	DUSP16
mcc:713762	FABP7
mcc:710125	PGS1
mcc:698133	CPEB3
mcc:698664	ELMO3
mcc:710552	-
mcc:716614	LIMK2
mcc:705170	HIST2H2AB
mcc:699564	LOC699564
mcc:693522	KIDINS220
mcc:693970	OAT
mcc:722044	RASGRP2
mcc:619186	CAMP
mcc:697545	UBE2U
mcc:702078	SERPINA5
mcc:719536	CTU1
mcc:695327	LOC695327
mcc:702253	SLC38A2
mcc:713040	NDUFS3
mcc:701312	MC2R
mcc:698011	TSPAN7
mcc:641449	STRADB
mcc:718861	PPARD
mcc:715470	SLIT2
mcc:716911	AP2S1
mcc:701171	SOAT2
mcc:717078	PPP2R3A
mcc:702067	LOC702067
mcc:721015	KCNJ4
mcc:702619	PLA2G15
mcc:703399	GNB1
mcc:696160	ATP1B4
mcc:711027	PPARGC1B
mcc:694662	HDAC2
mcc:699519	CYP26A1
mcc:710410	ARG1
mcc:574283	LDLR
mcc:720550	TJP1
mcc:712927	ELOVL3
mcc:721792	NMRK2
mcc:695275	MGST3
mcc:696647	NEIL2
mcc:716567	GALNTL5
mcc:718430	TTK
mcc:100429616	TGIF2
mcc:704061	DOCK2
mcc:100430416	LOC100430416
mcc:706258	EP300
mcc:712969	RHOD
mcc:710772	UBE2D3
mcc:2846625	CYTB
mcc:700081	CDC6
mcc:719706	RFXANK
mcc:702227	HIST1H2BO
mcc:707076	GPAT2
mcc:699971	SCNN1G
mcc:714215	SRPRA
mcc:696217	USP39
mcc:697930	LRRK2
mcc:715485	ERCC2
mcc:713374	HS3ST1
mcc:713740	TBX3
mcc:706853	PYGL
mcc:718576	LOC718576
mcc:703752	CRY1
mcc:706502	CARS
mcc:703891	PLG
mcc:695099	PAPSS1
mcc:693950	ENPP6
mcc:716170	TP53
mcc:711398	LPGAT1
mcc:710382	LOC710382
mcc:714432	EWSR1
mcc:695886	SLC7A5
mcc:100315152	MIR23A
mcc:706338	AK1
mcc:702532	CSF1
mcc:710301	CHRNE
mcc:706001	LOC706001
mcc:707625	SPTLC2
mcc:574271	HSPA2
mcc:712476	SCNN1A
mcc:702782	PRKAG3
mcc:695335	NFKBIA
mcc:714374	PTPN6
mcc:707257	MRPS18C
mcc:716571	-
mcc:699863	SF3B5
mcc:705806	ELAVL1
mcc:694149	EFNB1
mcc:716017	B3GNT7
mcc:714093	SLC5A7
mcc:715245	OR8G5
mcc:709943	OR5F1
mcc:710226	SEPT1
mcc:694669	KCNK10
mcc:722019	VWF
mcc:707140	HES1
mcc:699383	RAB2A
mcc:693443	APC
mcc:719305	RAC3
mcc:715390	CDC37
mcc:100429763	-
mcc:694464	PGM3
mcc:705678	CARD18
mcc:705753	LOC705753
mcc:701486	PTDSS1
mcc:106995866	-
mcc:710980	SV2B
mcc:706615	GUCY1A2
mcc:709837	CPT1A
mcc:707169	ARAF
mcc:106992648	-
mcc:713246	LOC713246
mcc:695547	GGCT
mcc:722191	ICOSLG
mcc:694309	LDHA
mcc:712161	TFE3
mcc:708205	ARHGEF26
mcc:716444	LOC716444
mcc:703801	CA3
mcc:708291	CTTN
mcc:707310	PIK3R3
mcc:100423131	LOC100423131
mcc:717517	PLA2G10
mcc:699304	OR4F6
mcc:574260	ATP5E
mcc:708258	MCCC1
mcc:107001057	-
mcc:699542	SND1
mcc:703356	PRKG1
mcc:707176	RPL3
mcc:705786	LRP2
mcc:709885	KLRC2
mcc:574276	THBS4
mcc:714297	DTX1
mcc:705068	GALNT14
mcc:709156	ASIP
mcc:720182	JUND
mcc:717117	FRS2
mcc:704038	B4GALT2
mcc:698190	AURKA
mcc:697162	SEMA3G
mcc:707526	POLE2
mcc:712898	TACC3
mcc:701195	PRKCB
mcc:700938	XPC
mcc:700725	IRF5
mcc:700485	RARB
mcc:717052	RORC
mcc:707245	IST1
mcc:713393	SH3GL2
mcc:702931	RHO
mcc:694929	-
mcc:718113	RHOG
mcc:706087	LOC706087
mcc:700940	HPD
mcc:696409	PABPC5
mcc:704331	CREBBP
mcc:705107	-
mcc:713480	PHGDH
mcc:715745	MAPK12
mcc:715504	AGAP2
mcc:707542	FH
mcc:100428498	UBE2Q2
mcc:712277	MED13
mcc:699738	INPP4B
mcc:695735	PPP1R12A
mcc:707004	LOC707004
mcc:714413	GABARAPL2
mcc:700842	NGLY1
mcc:713111	ATG4D
mcc:574169	ABCC2
mcc:100428865	LOC100428865
mcc:717994	OSM
mcc:693340	KIF5C
mcc:700070	OR5A2
mcc:710231	OR5V1
mcc:710570	MLX
mcc:721704	GSTP1
mcc:718957	FKBP5
mcc:701972	XPNPEP2
mcc:697748	KCNU1
mcc:2846623	ATP8
mcc:714132	F10
mcc:694618	BMP4
mcc:713622	XCR1
mcc:702076	L3HYPDH
mcc:697835	GADD45G
mcc:703775	MCOLN1
mcc:708287	COL4A4
mcc:695388	DNM1L
mcc:715512	EFTUD2
mcc:717811	SIRPA
mcc:695190	CSNK1A1L
mcc:704656	LAT
mcc:708084	MMP9
mcc:699561	AMPD2
mcc:677689	JAK1
mcc:722472	LAMA1
mcc:699083	PEMT
mcc:716296	FGR
mcc:711270	UBE3A
mcc:708005	TAT
mcc:703013	PAFAH1B2
mcc:697765	MYL5
mcc:107000817	LOC107000817
mcc:700743	AQP9
mcc:707333	LOC707333
mcc:716412	FLT4
mcc:704363	BLNK
mcc:717425	MECR
mcc:100425859	LOC100425859
mcc:100315134	MIR101-1
mcc:696843	MS4A1
mcc:574258	PPP3R2
mcc:695553	CYB5R4
mcc:709454	SLC22A3
mcc:717046	PFAS
mcc:696337	GALNT13
mcc:713091	LOC713091
mcc:701576	NOX3
mcc:696305	PIGP
mcc:698211	-
mcc:706387	PSAT1
mcc:697929	GGA1
mcc:698865	SMPD2
mcc:717573	-
mcc:702023	B3GNT4
mcc:710146	ADRB2
mcc:700518	CYC1
mcc:700972	TFG
mcc:709849	WASF3
mcc:701085	MAP3K13
mcc:100427694	LOC100427694
mcc:710546	KLHL13
mcc:705008	TLN2
mcc:699559	TNFRSF18
mcc:708973	MMAB
mcc:694564	GTF2H1
mcc:712381	FZD2
mcc:708980	LOC708980
mcc:698078	FUT4
mcc:699967	DGKG
mcc:697349	RAMP3
mcc:703573	UTP15
mcc:705864	DVL1
mcc:710747	CRYAB
mcc:714641	EPAS1
mcc:702348	SSU72
mcc:710936	PDX1
mcc:704207	MPHOSPH10
mcc:721021	SHC2
mcc:714844	PIGF
mcc:100424593	-
mcc:710605	LOC710605
mcc:707339	ST6GALNAC1
mcc:701574	LOC701574
mcc:717702	MAMU-DOB
mcc:713321	SLC40A1
mcc:100423536	-
mcc:722292	ARHGDIG
mcc:701820	MRPL32
mcc:711646	RABEP1
mcc:715911	MAP3K6
mcc:694372	LOC694372
mcc:712061	CCDC12
mcc:708028	PIWIL2
mcc:701160	PTPRF
mcc:705121	PTEN
mcc:tRNA-Leu-2	-
mcc:100286832	GPX6
mcc:698275	MARS2
mcc:712054	GAA
mcc:704975	RAB31
mcc:701044	PLRG1
mcc:696161	DUSP9
mcc:719224	OPRL1
mcc:713995	COX6A2
mcc:694733	HLCS
mcc:707322	LOC707322
mcc:700676	MED8
mcc:693986	SLC11A2
mcc:701645	LAMTOR5
mcc:100426891	TOMM40L
mcc:698679	-
mcc:100315593	MIR103-1
mcc:703389	MDN1
mcc:709644	RDH5
mcc:702345	OCRL
mcc:695746	PAX6
mcc:714261	MAGOH
mcc:715682	SEMA5B
mcc:716809	CFB
mcc:695103	SRD5A1
mcc:711011	LOC711011
mcc:707645	MVK
mcc:714080	SLC1A7
mcc:695879	XYLB
mcc:712257	CTNNBIP1
mcc:718950	RYK
mcc:700843	PALB2
mcc:696042	GPAM
mcc:717375	XPOT
mcc:699504	CCNB1
mcc:705059	SNRNP40
mcc:704801	POLB
mcc:701489	DGAT1
mcc:702686	MTNR1A
mcc:706119	TRPM6
mcc:721436	MKNK2
mcc:708506	PEX5L
mcc:710796	FZD5
mcc:705474	BMPR1B
mcc:699033	LOC699033
mcc:704452	HIST1H2BM
mcc:710412	LOC710412
mcc:703324	-
mcc:709296	LOC709296
mcc:713101	HAAO
mcc:715976	LOC715976
mcc:697706	LOC697706
mcc:710072	PVRL1
mcc:698222	ATP4B
mcc:709691	FMO5
mcc:717964	DDX42
mcc:697233	KMT2E
mcc:720405	UGT2A1
mcc:707564	GAST
mcc:702048	OXTR
mcc:694076	LOC694076
mcc:698937	LOC698937
mcc:693405	ARPC5L
mcc:696948	BMP7
mcc:710619	GMPR
mcc:707002	DARS2
mcc:719887	LOC719887
mcc:699221	GTF2F1
mcc:706465	PLIN1
mcc:714390	CD86
mcc:705958	TAS2R39
mcc:710833	HMGCL
mcc:693635	HIST3H2BB
mcc:701133	SLC18A2
mcc:710732	CD58
mcc:574325	IL13
mcc:718284	MDM2
mcc:100315260	MIR423
mcc:713339	GRM6
mcc:693775	SPTLC3
mcc:100424653	CPLX3
mcc:708105	SRSF2
mcc:713244	AP1S2
mcc:715954	LOC715954
mcc:717782	LOC717782
mcc:704088	BMPR2
mcc:721324	FGF9
mcc:705048	ATP6AP2
mcc:697697	SEMA4D
mcc:722780	-
mcc:709075	EZH2
mcc:707051	GMDS
mcc:694153	LOC694153
mcc:711970	NDUFA12
mcc:100430663	-
mcc:721578	THOP1
mcc:721735	PPP1CA
mcc:714686	MCM4
mcc:720177	LOC720177
mcc:707279	ITGA7
mcc:719151	ETV7
mcc:720204	TAF4
mcc:698446	WIPF1
mcc:722359	NAT8L
mcc:718843	F2RL3
mcc:708033	BUB3
mcc:714701	SLC2A4
mcc:707393	-
mcc:709988	LOC709988
mcc:100428847	-
mcc:699931	CRNKL1
mcc:641447	PAPOLA
mcc:715100	-
mcc:tRNA-Val	-
mcc:712044	PTPN11
mcc:696019	SEMA5A
mcc:703967	RAPGEF3
mcc:703219	FBXO5
mcc:721238	PRPF8
mcc:695625	ODC1
mcc:714044	HCLS1
mcc:715466	B3GALT5
mcc:699563	MDM4
mcc:700830	TOP3A
mcc:693444	AP4E1
mcc:713994	CHST2
mcc:100427699	SERPINF2
mcc:706110	LDHB
mcc:693390	P2RX2
mcc:713511	SLC7A8
mcc:698499	LOC698499
mcc:699072	ATF2
mcc:704372	NME7
mcc:706202	IMP3
mcc:708074	LOC708074
mcc:715782	MAPK9
mcc:695628	GGCX
mcc:707213	HSPG2
mcc:708347	RAB5B
mcc:695987	RPL19
mcc:705101	TNFRSF21
mcc:703642	LOC703642
mcc:720563	CD99
mcc:720697	CPT1B
mcc:696943	POLR3C
mcc:709392	OR8I2
mcc:708670	SNRNP27
mcc:703541	B4GALT1
mcc:700606	GNG11
mcc:106993362	-
mcc:718672	GANAB
mcc:708912	EIF2AK2
mcc:719248	GNB2
mcc:716409	CXADR
mcc:718187	XYLT1
mcc:698055	FOXO4
mcc:706438	LOC706438
mcc:694507	CTBP1
mcc:100430821	FBP2
mcc:696759	KIT
mcc:100423207	LOC100423207
mcc:716019	LOC716019
mcc:693742	MBOAT7
mcc:100428443	-
mcc:708411	ATP5J
mcc:712200	ESAM
mcc:698293	KDR
mcc:708326	-
mcc:100428329	LOC100428329
mcc:710724	PIP4K2A
mcc:699042	WASF1
mcc:696105	IMMP1L
mcc:706792	LARS
mcc:697566	MRE11A
mcc:708707	TNR
mcc:706909	ACACB
mcc:100430668	LOC100430668
mcc:710075	PSMA8
mcc:713344	PRPF38A
mcc:706455	RHOA
mcc:718989	DYNC1H1
mcc:717990	RRM1
mcc:706704	GNAZ
mcc:100315439	MIR25
mcc:703458	PPIP5K2
mcc:716141	SETDB1
mcc:712325	-
mcc:693963	TRAM1
mcc:706921	NOS2
mcc:699140	DIAPH2
mcc:695567	RIPK2
mcc:711166	CAB39
mcc:699278	TKTL1
mcc:695215	CCND3
mcc:711683	PHF5A
mcc:100533473	P2RY11
mcc:708227	IGF1R
mcc:696874	ATG5
mcc:694179	SPCS2
mcc:716600	-
mcc:714744	MARS
mcc:719479	CSNK1D
mcc:698365	AMACR
mcc:716690	IL6R
mcc:693669	NUP210
mcc:716701	RNASEH2A
mcc:711832	MAMU-A
mcc:714144	RAB11A
mcc:100425929	LOC100425929
mcc:694992	MEF2C
mcc:694187	PCGF2
mcc:721956	HSPH1
mcc:709062	G6PC2
mcc:699941	AGXT
mcc:697763	AVPR2
mcc:716620	LRRC4C
mcc:702292	POM121L2
mcc:708481	FKBP4
mcc:100315503	MIR7-2
mcc:715861	LOC715861
mcc:719023	SLC1A6
mcc:100430608	-
mcc:100315129	MIR29A
mcc:708406	ALDOA
mcc:700565	CSNK1E
mcc:706742	TAS2R60
mcc:702291	JARID2
mcc:713813	DDB2
mcc:720668	MIOX
mcc:106995138	-
mcc:702498	NFKBIE
mcc:713562	GTF2E1
mcc:707258	ADH5
mcc:712784	SORD
mcc:700277	LOC700277
mcc:714739	DIO1
mcc:715765	SCP2
mcc:677699	COMMD3
mcc:700583	TRAF1
mcc:713702	S100G
mcc:697444	PNMT
mcc:699877	CD276
mcc:699734	UBE2K
mcc:710343	LOC710343
mcc:100424683	SLC6A19
mcc:696912	HTR3A
mcc:100315150	MIR194-1
mcc:712022	DNAH11
mcc:707293	MYL7
mcc:712615	HAO2
mcc:710143	HSPA4L
mcc:702111	LAMB1
mcc:709379	HTR1D
mcc:714982	HMGCLL1
mcc:705832	SRSF10
mcc:574103	KCNMA1
mcc:716363	LOC716363
mcc:719763	ADRA2C
mcc:717918	SAE1
mcc:705920	PDE1B
mcc:705468	DBF4
mcc:106997750	-
mcc:697573	ERBB2
mcc:704027	SGMS1
mcc:704351	EFNA5
mcc:722086	LOC722086
mcc:718524	NCOA1
mcc:100427327	LOC100427327
mcc:714983	PDE10A
mcc:721882	CFL1
mcc:699093	ACER1
mcc:719221	B3GNT3
mcc:715908	CRTC2
mcc:100169972	GNG3
mcc:696181	HADH
mcc:714760	POU5F1
mcc:100429345	RPP38
mcc:710888	MCM2
mcc:714510	ADRBK2
mcc:705316	EHD3
mcc:714221	DAPK3
mcc:721648	NLRP1
mcc:718265	CRLS1
mcc:707822	ERCC5
mcc:693300	ERG
mcc:704203	SPOPL
mcc:707247	ITGB8
mcc:709417	LOC709417
mcc:100423637	-
mcc:694011	LOC694011
mcc:100425412	-
mcc:711569	RMI2
mcc:712265	OAS1
mcc:722041	MEN1
mcc:713836	DHX16
mcc:712934	UBC
mcc:713694	MRPS18B
mcc:707265	OR10G3
mcc:574381	TIMP3
mcc:716776	HTR6
mcc:711836	H2AFY
mcc:704490	PCF11
mcc:706131	NSD1
mcc:717875	ABCC6
mcc:711124	NCKAP1
mcc:709108	MGAT5
mcc:701062	TXNRD1
mcc:100430151	-
mcc:706788	RPP14
mcc:704534	-
mcc:718442	DUSP2
mcc:713777	SOS1
mcc:574321	DNMT1
mcc:717368	RXRB
mcc:706213	LOC706213
mcc:711246	GEMIN6
mcc:100187587	MAMU-DRA
mcc:100424606	GNG12
mcc:712533	LOC712533
mcc:711912	LOC711912
mcc:703881	GNAT1
mcc:703711	TMLHE
mcc:702504	CAMK2D
mcc:100315431	MIR129-2
mcc:711299	SHROOM1
mcc:709773	PPP3CA
mcc:716138	RIPK3
mcc:100426272	-
mcc:694357	CPEB1
mcc:696470	LOC696470
mcc:693645	LOC693645
mcc:708862	LOC708862
mcc:698840	GNGT2
mcc:712634	BRCA1
mcc:700136	HUWE1
mcc:705773	WNT2B
mcc:717837	JUNB
mcc:692341	LILRA2
mcc:717101	AVP
mcc:722198	ARHGEF1
mcc:700000	GRK6
mcc:721818	-
mcc:707398	LOC707398
mcc:717205	OR51S1
mcc:710730	SSX2IP
mcc:695748	RPS3
mcc:693544	TK2
mcc:698450	C1D
mcc:106993357	-
mcc:716919	CA4
mcc:696326	WNT9A
mcc:106995090	-
mcc:701344	NUDT9
mcc:713227	VAV2
mcc:699317	LOC699317
mcc:704683	IKBKB
mcc:723305	LOC723305
mcc:702044	HRH4
mcc:722078	ITPKC
mcc:694845	PROS1
mcc:699642	HDAC8
mcc:695788	XRCC3
mcc:711059	IL22RA2
mcc:706515	AMT
mcc:106999361	-
mcc:700591	AKT2
mcc:715816	SLC44A1
mcc:696808	LOC696808
mcc:574194	TUBA1A
mcc:710045	VDAC1
mcc:704486	CNGA2
mcc:710904	ANK1
mcc:704086	SCN1A
mcc:707640	ITCH
mcc:697648	LMO7
mcc:715314	PSMF1
mcc:717179	RYR2
mcc:698329	CD8A
mcc:697584	-
mcc:693999	POLI
mcc:719290	STRA13
mcc:712669	EXOSC6
mcc:715378	RHEB
mcc:713358	CHEK1
mcc:702798	RRAGD
