JAK/STAT(non-core);JAK/STAT(non-core);PTPN11,STAM,IRAK2,PTPN6,SOCS1,SOCS3,PTPN1,PIAS4,IRAK1,CISH,SH2B1,PTPN2,GNB2L1,PTPRC,PIAS2,PIAS3,PIAS1,IL22RA2,CTF1,IRF9,PTPRT
NHR(core);NHR(core);SMAD3,ESR1,AR,NR3C1,NR0B1,ESR2,NR0B2,HNF4A,RXRA,NR5A2,THRB,THRA,RXRB,RARA,RARG,PPARA,PPARG,NR1H3,NR1H4,VDR,NR1I3,NR1I2,NR4A1,NR2F1,NR2F2,NR2F6,NR3C2,NR5A1,RARB,PPARD,NR2C2,ESRRG,ESRRB,PGR,NR1H2,ESRRA,RXRG,NR1D1,NR2E3,NR4A2,NR2C1,NR4A3
WNT/Wingless(non-core);WNT/Wingless(non-core);SMAD3,SMURF2,ARRB1,MAP3K7,BTRC,TLE1,FBXW11,PPP2CA,WIF1,NLK,SFRP1,DAB2,MARK1,DKK1,GATA3,KREMEN1,KREMEN2,PITX2,CBY1,STK11,NKD1,ROR2,RANBP3,CDC73,MED12,BCL9,GPC3,SFRP2,MACF1,CSNK1E,CDK14,CSNK1A1,TSC2,TSC1,RHEB,ANAPC2,DAAM1,ANKRD6,INVS,LRRFIP2,LRRK2,PI4K2B,CSNK2A1,PIP5K1A,CAPRIN2,ROCK1,ADRBK1,YWHAZ,YWHAB,RPTOR,GRK5,NPR1
TGF(non-core);TGF(non-core);AXIN1,ESR1,SMURF2,MAP3K1,CDC42,CTNNB1,SMAD6,DAXX,FBXW11,SIRT1,SMURF1,BAMBI,SNIP1,KAT2A,XPO1,HGS,ZFYVE9,PIAS4,DAB2,SKIL,EIF4E,NUP214,NUP153,FOXH1,ITCH,SKI,HIPK2,NR3C1,SUMO1,RNF111,PIAS3,PIAS1,PPP1R15A,PPP1CC,WWP1,PML,TGIF1,NEDD4L,ROR2,TRIM33,UCHL5,PPP1CA,PPM1A,CTDSP1,CTDSP2,CTDNEP1,CHUK,TRAF6,ITGB8,ITGB6,MTMR4,HYAL2,WWOX,ERBB2IP,DACT2,HOXC8,STRAP,PELI1,YAP1,FKBP1A,EIF3I,PARD6A,SIK1,RHOA
Hedgehog(core);Hedgehog(core);GSK3B,MAP2K1,PTCH2,SMO,SHH,DHH,IHH,PRKACA,SUFU,AKT1,GLI1,GLI3,CSNK1A1L,PTCH1,DISP1,GLIS2,DISP2,PTCHD2
TGF(core);TGF(core);GSK3B,AXIN1,MAPK3,SMAD3,SMAD2,MAPK1,MAPK14,SMAD7,TGFBR1,SMAD1,ACVR1B,CREB1,SMAD4,ACVR1,ACVRL1,BMPR1B,SMAD5,ACVR1C,AKT1,BMP8B,BMPR1A,MYC,TGFBR2,ACVR2B,BMP6,AMHR2,AMH,ACTR2,GDF11,GDF1,INHBA,BMP7,BMP2,BMP15,BMPR2,TGFB1,TGFB2,TGFB3,NODAL,GDF5,GDF6,BMP4
RTK(non-core);RTK(non-core);PTPN11,GSK3B,AXIN1,PEA15,ARRB1,MDM2,IGF2R,FYN,DUSP4,GRAP,DUSP2,DUSP1,TAB1,FLNA,SMAD7,SMAD6,LAMTOR3,DAXX,MAPK8IP1,DUSP6,DUSP9,DUSP8,PRKACA,PRKCA,SIRT1,INPP5D,DUSP5,PEBP1,CBL,MAPK8IP3,PTEN,PTPN1,MAPK8IP2,SHOC2,MBIP,TAB2,DUSP10,PAK1IP1,EIF4E,KSR1,SGK1,IRAK1,DUSP22,PTPN2,SIRPA,GAB1,DUSP19,GNB2L1,IKBKAP,DUSP3,SPAG9,SH3RF1,DUSP16,GRB10,NEDD4,STK11,KSR2,CNKSR2,WDR83,LRIG1,PPP4C,MTSS1,PPP2R2A,CNKSR1,CRIPAK,SNX9,SMEK1,INPPL1,IGFBP1,MTOR,TP53,PTK2B,SRC,PI4K2B,CAV1,NCK1,RASA1,FLT1,ANXA5,GLMN,RANBP9,MST1R,YWHAQ,MATK,ARHGAP32,SQSTM1,SH2B2,ACP1,ARHGEF15,NGEF,GRB7,SYNJ1,ITSN1,MLLT4,PTPRZ1,DOK2,TNIP2,DOK7,STK39,CDK5R1,CDK5,TENC1,GAS6,PIK3R1,DOK4,DOK5,DOK6,GFRA1,RAD9A,YTHDC1,RAD51,PSTPIP1,NEDD9,CRKL,SORBS2,ATM,RYBP,BCR,TP73,RFX1,ABL2,PAG1,PTK6,STAP2,LCK,ZAP70,LCP2,ITK,GIT1,WASL,CAV2,MEF2D,PRKCZ,PRKD1,GAB2,NCK2,PTK2,RND1,RAP1GAP,RAP1B,PRKCQ,SYK,DOK1,PTPRF,BCAR1,BRCA1,FLT3,PRKCI,RAP1A,RIPK1
Hedgehog(non-core);Hedgehog(non-core);ARRB1,BTRC,HHIP,STK36,RBX1,CUL1,GAS1,EXTL1,LRP2,DYRK1A,SAP18,MTSS1,GRK6,SPOP,CUL3,BOC,CDO1,GPC3,HHAT,RAB23,CSNK1E
WNT/Wingless(core);WNT/Wingless(core);GSK3B,AXIN1,SMAD3,SMAD2,NOTCH1,RPS6KA1,JUN,APC2,CTNNB1,WNT5A,FZD5,TCF4,FRZB,WNT1,WNT8A,FRAT1,DVL3,CREB1,LEF1,PRKACA,FZD7,FZD8,AKT1,CSNK1G1,FZD4,LRP6,WNT10B,TCF3,WNT4,LRP5,DVL2,DVL1,CSNK1D,CSNK1A1L,AXIN2,WNT2,FZD9,FZD3,HNF1A,RYK,WNT3A,FZD1,WNT16
Notch(non-core);Notch(non-core);ARRB1,NCOR2,ADAM10,DTX4,DLL4,NOTCH4,LFNG,JAG1,DLL3,LTC4S,DTX1,FBXW7,MFNG,MAML2,MAML3,MIB1,NUMB,ITCH,NEDD4,BHLHE41,CTBP1,APH1A,POFUT1,NEURL,GALM,MIB2,RAB11A,NUMBL,ADAM17,DNER,CNTN1,CNTN6,NOV,MFAP2,MFAP5,CHUK,EP300,CDK8,GSK3A,DAB1,CIR1,TP53,HIF1A
JAK/STAT(core);JAK/STAT(core);JAK2,IRS1,JAK1,MAPK3,IL10RB,IL28RA,IL3,IL3RA,GH1,GHR,MAPK14,CSF3R,IL12A,IL12RB1,IL4R,JAK3,MPL,THPO,TYK2,MAPK8,IFNG,IFNGR2,IL2RG,STAT5A,IL2,PRLR,IFNAR2,CNTF,CNTFR,IL6ST,IFNA1,IFNAR1,IFNB1,IL7,IL7R,IL15,IL15RA,IL5,IL5RA,IL13RA1,EGFR,STAT1,IL13,CSF2RA,STAT6,IL1B,IL1R1,ERBB4,LEP,LEPR,IL9R,IL1A,EPO,EPOR,RAC1,DBP,IL4,STAT3,LIF,LIFR,TSLP,CRLF2,CSF1,CSF2,CSF3,PRL,OSMR,IL9,IFNGR1,IL21R,IL23A,IL6,IL6R,CRLF1,STAT5B,IL23R,STAT2,IL1RAP,STAT4,IL11,IL11RA,IL20RA,IL20RB,IL22RA1,IL10RA,IL13RA2,IL31,OSM,IL21,IL10,IFNK,IL36G,IL20,IL24,IL29,IL28A,IL28B,IL26,IL22,IL19,IL27,IL27RA,PTK2B,IL31RA,FLT1,KIT,CSF1R
Notch(core);Notch(core);NOTCH1,PSEN1,PSENEN,RBPJ,NOTCH2,NOTCH3,JAG2,NCSTN,MDK,PSEN2,DLL1,FLT4
RTK(core);RTK(core);IRS1,JAK1,GSK3B,MAP2K1,MAPK3,SMAD3,SMAD2,MAP2K2,MAPK1,INS,IGF1R,IGF2,MAPK14,MAX,MAP4K2,MAP3K1,SHC1,ATF2,ELK1,RPS6KA1,FOS,GRAP,PIK3CG,MAPK8,AREG,ERBB2,BRAF,CDC42,PAK1,JUN,TAL1,MAP3K8,MAP2K4,MAP3K12,MAP3K7,EGFR,KRAS,DDIT3,MAP2K3,MAP3K11,SHC2,SHC3,MAP4K4,MAP3K5,MAP2K6,MAP4K1,ELK4,HRAS,RAF1,MEF2C,MKNK2,MKNK1,NRG2,ERBB3,ERBB4,STK4,MAP3K10,TGFBR1,NRG1,NRG3,MAP3K4,MAPK7,MAP4K5,NRAS,IRS4,MAPKAPK5,MAPK11,DVL3,MAP2K7,RPS6KA5,CREB1,SMAD4,RAC2,MEF2A,TAOK1,RPS6KA4,RAC1,PAK2,SOS1,MAPKAPK3,MAPKAPK2,AKT1,FOXO3,FOXO4,EGF,TGFA,BTC,HBEGF,NRG4,IRS2,ATF1,TAOK2,AKT3,MAP2K5,MYC,MLTK,ELK3,MAPK10,MAPK9,MAPK13,MAPK12,MAP3K2,MAP4K3,TGFBR2,CRK,PDPK1,MAP3K13,RPS6KB1,ETS1,IGF1,INSR,MAP3K3,FOXO1,AKT2,TPBG,RYK,ROR2,SOCS2,TAOK3,MAP3K6,MAP3K9,MINK1,RRAS,PDGFRB,PDGFRA,PLCG1,PDGFC,PDGFD,PDGFA,PDGFB,FGF1,FGFR1,GRB14,SHB,FGFR2,FGF2,FGF3,FGF4,FGF6,FGF7,FGF8,FGF9,FGF10,FGF17,FGF18,FGF22,FGFR3,VEGFB,KDR,HGF,MET,MST1,NTRK1,ABL1,FRS2,NGF,BDNF,NTRK2,NTF3,NTRK3,EFNA1,EPHA1,EFNA2,EPHA2,EFNA3,EPHA3,EFNA4,EPHA4,EFNA5,EPHA5,EFNB1,EPHB1,EFNB2,EPHB2,EFNB3,EPHB3,EPHA6,EPHA7,EPHA8,EPHB4,LTK,PTN,ALK,ANGPT4,TIE1,ANGPT2,TEK,ANGPT1,ANGPTL1,ROR1,MAGED1,DDR1,DDR2,AGRN,MUSK,ROS1,AATK,LMTK2,AXL,MERTK,VAV1,TYRO3,RET,GDNF,RB1,ABI1,CSK,KIT,KHDRBS1,EEF1A1,NCOA2
